0000.	SSR data unreliable
0001.	Height Monitoring Unit
0002.	Ground Transponder Testing
0003-0005	Not allocated
0006.	British Transport Police ASU
0007.	Off-shore Safety Area (OSA) Conspicuity
0010.	Aircraft operating outside of Birmingham CAS and monitoring Birmingham Radar
0011.	Solent Monitoring Code
0012.	Aircraft operating outside of EGLL/EGLC/EGKK CAS and monitoring Thames/Gatwick Radar
0013.	Aircraft operating outside of Luton/Stansted CAS and monitoring Luton/Essex Radar
0014.	Kent Air Ambulance (HMD21)
0015.	Essex Air Ambulance (HMD07)
0016.	Thames Valley Air Ambulance(HMD24)
0017.	Virgin HEMS (HMD27)
0020.	Air Ambulance Helicopter Emergency Medivac
0021.	Fixed-wing aircraft (Receiving service from a ship)
0022.	Helicopter(s) (Receiving service from a ship)
0023.	Aircraft engaged in actual SAR Operations
0024.	Radar Flight Evaluation/Calibration
0025.	Not allocated
0026.	Special Tasks (Mil) - activated under Special Flight Notification (SFN)
0027.	London AC (Swanwick) Ops Crossing/Joining CAS
0030.	FIR Lost
0031.	An aircraft receiving a radar service from Scottish D & D centre
0032.	Aircraft engaged in police air support operations
0033.	Aircraft Paradropping
0034.	Antenna trailing/target towing
0035.	Selected Flights - Helicopters
0036.	Helicopter Pipeline/Powerline Inspection Flights
0037.	Royal Flights - Helicopters
0040.	Civil Helicopters North Sea
0041-0042	Greater Manchester Police ASU
0043-0044	Metropolitan Police ASU
0045.	Sussex Police ASU
0046.	Essex Police ASU
0047.	Surrey Police ASU
0050.	Chiltern Police ASU (Western Base)
0051.	Chiltern Police ASU (Eastern Base)
0052.	Norfolk Police ASU
0052.	West Yorkshire Police ASU
0053.	Suffolk Police ASU
0053.	South Yorkshire Police ASU
0054.	Cambridgeshire Police ASU
0054.	Merseyside Police ASU
0054.	South and East Wales Police ASU
0055.	Cleveland Police ASU
0055.	Cheshire Police ASU
0056.	Northumbria Police ASU
0056.	North Midlands Police ASU
0057.	Strathclyde Police ASU
0057.	Humberside Police ASU
0057.	East Midlands Police ASU
0060.	West Midlands Police ASU
0061.	Lancashire Police ASU
0061.	Western Counties Police ASU
0062-0077	No 1 Air Control Centre
0100.	NATO - CAOC 9 Exercises (activated by NOTAM)
0101-0117	Transit (ORCAM) Brussels
0120-0137	Transit (ORCAM) Germany
0140-0177	Transit (ORCAM) Amsterdam
0200.	NATO - CAOC 9 Exercises (activated by NOTAM)
0201-0213	TC Stansted/TC Luton
0201-0217	RAF Leuchars
0201-0257	Ireland Domestic
0201-0257	RNAS Yeovilton
0220.	RAF Leuchars Conspicuity
0220-0237	RAF Shawbury
0221-0247	RAF Leuchars
0224-0243	Anglia Radar
0240.	RAF Shawbury Conspicuity
0241-0246	RAF Shawbury
0244.	North Denes Conspicuity
0245-0267	Anglia Radar
0247.	Cranfield Airport - IFR Conspicuity Purposes
0260.	Liverpool Airport Conspicuity
0260-0261	Coventry Airport Conspicuity
0260-0261	Oil Survey Helicopters - Faeroes/Iceland Gap
0260-0267	Westland Helicopters Yeovil
0260-0267	RAF Northolt
0261-0267	Liverpool Airport
0270-0277	Superdomestic - Ireland to UK, Germany and Benelux
0300.	NATO - CAOC 9 Exercises (activated by NOTAM)
0301-0377	Transit (ORCAM) UK
0400.	NATO - CAOC 9 Exercises (activated by NOTAM)
0401.	RAF Leeming Conspicuity
0401.	Shoreham Approach Procedural
0401-0420	Birmingham Approach
0401-0430	Exeter Approach
0401-0437	Ireland Domestic
0401-0467	RAF Lakenheath
0402-0416	RAF Leeming
0421-0446	Farnborough Radar/LARS
0427.	RAF Leeming (Topcliffe) Conspicuity
0430-0443	Edinburgh Approach
0447.	Farnborough LARS - Blackbushe Departures
0450-0456	Blackpool Approach
0450-0456	Farnborough Radar/LARS
0457.	Blackpool Approach (Liverpool Bay and Morecambe Bay Helicopters)
0457.	Farnborough LARS - Fairoaks Departures
0460-0466	Blackpool Approach
0460-0467	Farnborough Radar/LARS
0467.	Blackpool Approach (Liverpool Bay and Morecambe Bay Helicopters)
0470-0477	UK Domestic
0500.	NATO - CAOC 9 Exercises (activated by NOTAM)
0501-0577	Transit (ORCAM) UK
0600.	NATO - CAOC 9 Exercises (activated by NOTAM)
0601-0637	Transit (ORCAM) Germany
0640-0677	Transit (ORCAM) Paris
0700.	NATO - CAOC 9 Exercises (activated by NOTAM)
0701-0777	Transit (ORCAM) Maastricht
2000.	Aircraft from non SSR environment or on the aerodrome surface
2001-2077	Transit (ORCAM) Shannon
2100.	NATO - CAOC 9 Exercises (activated by NOTAM)
2101-2177	Transit (ORCAM) Amsterdam
2200.	NATO - CAOC 9 Exercises (activated by NOTAM)
2201-2277	Superdomestic UK to LF, LE, LP, GC and FA
2300.	NATO - CAOC 9 Exercises (activated by NOTAM)
2301-2337	Transit (ORCAM) Bordeaux
2340-2377	Transit (ORCAM) Brest
2400-2477	NATO - CAOC 9 Exercises (activated by NOTAM)
2500.	NATO - CAOC 9 Exercises (activated by NOTAM)
2501-2577	Transit (ORCAM) Karlsruhe
2600.	NATO - CAOC 9 Exercises (activated by NOTAM)
2601-2620	Aberdeen Approach
2601-2637	RAF Cranwell
2601-2645	MoD Boscombe Down
2601-2657	Irish Domestic Westbound departures and Eastbound arrivals
2621-2630	Aberdeen (Sumburgh Approach)
2631-2637	Aberdeen (Northern North Sea Off-shore)
2640-2657	Aberdeen (Northern North Sea Off-shore - Sumburgh Sector)
2641-2642	RAF Cranwell - Lincolnshire AIAA
2646-2647	MoD Boscombe Down - High Risks Trial
2650.	MoD Boscombe Down Conspicuity
2650-2653	Leeds Bradford Approach
2651-2657	MoD Boscombe Down
2654.	Leeds Bradford Conspicuity
2655-2677	Leeds Bradford Approach
2660-2675	Middle Wallop
2660-2677	Aberdeen (Northern North Sea Off-shore)
2676-2677	Middle Wallop Conspicuity
